SEED_abbrev,CHNOSZ_id,discrepancy,SEED_nostereo,SEED_name,SEED_formula,SEED_chg
h2o,H2O,0,h2o,H2O,H2O,0
nad,NAD(ox)-,0,nad,NAD,C21H26N7O14P2,-1
o2,O2,0,o2,O2,O2,0
pi,HPO4-2,1,pi,Phosphate,HO4P,-2
co2,CO2,0,co2,CO2,CO2,0
ppi,HP2O7-3,0,ppi,PPi,HO7P2,-3
nh4,NH4+,1,nh4,NH3,H4N,1
pyr,pyruvate,0,pyr,Pyruvate,C3H3O3,-1
Iron,Fe,0,Iron,Fe,Fe,0
glu-L,glutamate,0,glu,L-Glutamate,C5H8NO4,-1
glc-D,glucose,0,glc,D-Glucose,C6H12O6,0
ac,acetate,0,ac,Acetate,C2H3O2,-1
mn2,Mn+2,0,mn2,Mn2+,Mn,2
gly,glycine,0,gly,Glycine,C2H5NO2,0
zn2,Zn+2,0,zn2,Zn2+,Zn,2
ala-L,alanine,0,ala,L-Alanine,C3H7NO2,0
succ,succinate-2,0,succ,Succinate,C4H4O4,-2
lys-L,lysine,1,lys,L-Lysine,C6H15N2O2,1
asp-L,aspartate,0,asp,L-Aspartate,C4H6NO4,-1
gthrd,glutathione,1,gthrd,GSH,C10H16N3O6S,-1
for,formate,0,for,Formate,CHO2,-1
so4,SO4-2,0,so4,Sulfate,O4S,-2
arg-L,arginine,1,arg,L-Arginine,C6H15N4O2,1
gln-L,glutamine,0,gln,L-Glutamine,C5H10N2O3,0
ser-L,serine,0,ser,L-Serine,C3H7NO3,0
cu2,Cu+2,0,cu2,Cu2+,Cu,2
ascb,ascorbate,0,ascb,L-Ascorbate,C6H7O6,-1
met-L,methionine,0,met,L-Methionine,C5H11NO2S,0
ca2,Ca+2,0,ca2,Ca2+,Ca,2
trp-L,tryptophan,0,trp,L-Tryptophan,C11H12N2O2,0
phe-L,phenylalanine,0,phe,L-Phenylalanine,C9H11NO2,0
h,H+,0,h,H+,H,1
urea,urea,0,urea,Urea,CH4N2O,0
s,sulfur,0,s,S,S,0
no2,HNO2,1,no2,Nitrite,HNO2,0
so3,HSO3-,1,so3,Sulfite,HO3S,-1
fru,fructose,0,fru,D-Fructose,C6H12O6,0
cys-L,cysteine,0,cys,L-Cysteine,C3H7NO2S,0
cl,Cl-,0,cl,Cl-,Cl,-1
glyc,glycerol,0,glyc,Glycerol,C3H8O3,0
fum,fumarate-2,0,fum,Fumarate,C4H2O4,-2
leu-L,leucine,0,leu,L-Leucine,C6H13NO2,0
gal,galactose,0,gal,Galactose,C6H12O6,0
meoh,methanol,0,meoh,Methanol,CH4O,0
his-L,histidine,0,his,L-Histidine,C6H9N3O2,0
hco3,HCO3-,1,hco3,H2CO3,CHO3,-1
ni2,Ni+2,0,ni2,Ni2+,Ni,2
mg2,Mg+2,0,mg2,Mg,Mg,2
tsul,HS2O3-,1,tsul,H2S2O3,HO3S2,-1
maln,malonate-2,0,maln,Malonate,C3H2O4,-2
ile-L,isoleucine,0,ile,L-Isoleucine,C6H13NO2,0
pta,n-pentanoate,1,pta,Valerate,C5H9O2,-1
Naphthalene,napthalene,0,Naphthalene,Naphthalene,C10H8,0
met-D,methionine,0,met,D-Methionine,C5H11NO2S,0
bhb,2-hydroxybutanoate,1,bhb,(R)-3-Hydroxybutanoate,C4H7O3,-1
HBr,Br-,1,HBr,HBr,Br,-1
na1,Na+,0,na1,Na+,Na,1
CPD-148,octane,0,CP148,Octane,C8H18,0
Benzene,benzene,0,Benzene,Benzene,C6H6,0
lac-R,lactate,1,lac-R,Lactate,C3H5O3,-1
metha,methane,0,metha,Methane,CH4,0
m-Cresol,m-cresol,0,m-Cresol,m-Cresol,C7H8O,0
p-Cresol,p-cresol,0,p-Cresol,p-Cresol,C7H8O,0
arsna,HAsO4-2,0,arsna,Arsenate,HAsO4,-2
o-Cresol,o-cresol,0,o-Cresol,o-Cresol,C7H8O,0
Selenium,selenium,1,Selenium,Selenium,Se,0
ocdca,n-octadecanoic acid,1,ocdca,ocdca,C18H35O2,-1
cbs_337,galactose,0,cbs_337,Galactose,C6H12O6,0
hxa,n-hexanoate,0,hxa,Hexanoate,C6H11O2,-1
Sodium bicarbonate,HCO3-,1,Sodium bicarbonate,Sodium bicarbonate,CHNaO3,0
Citric acid monohydrate,citric acid,0,Citric acid monohydrate,Citric acid monohydrate,C6H7O8,-3
Sodium sulfate,NaSO4,1,Sodium sulfate,Sodium sulfate,Na2O4S,0
Ba2+,Ba+2,0,Ba2+,Ba2+,Ba,2
Sr2+,Sr+2,0,Sr2+,Sr2+,Sr,2
Phenanthrene,phenanthrene,0,Phenanthrene,Phenanthrene,C14H10,0
Cr,Cr+2 Cr+3,1,Cr,Cr,Cr,0
wo4,WO4-2,0,wo4,tungstate,O4W,-2
h2,H2,0,h2,H2,H2,0
Lithium,Li+  LiOH,1,Lithium,Lithium,HLi,0
mobd,MoO4-2,0,mobd,Molybdate,MoO4,-2
Fe+2,Fe+2,0,Fe+2,Fe+2,Fe,2
Fe+3,Fe+3,0,Fe+3,Fe+3,Fe,3
Magnesium chloride,MgCl+ Mg+2 Cl-,1,Magnesium chloride,Magnesium chloride,Cl2Mg,0
cll_346,ribose,0,cll_346,Ribose,C5H10O5,0
PCE,PCE,0,PCE,PCE,C2Cl4,0
Selenite,SeO3-2,0,Selenite,Selenite,O3Se,-2
Selenate,SeO4-2,0,Selenate,Selenate,O4Se,-2
Quinoline,quinoline,0,Quinoline,Quinoline,C9H7N,0
Biphenyl,biphenyl,0,Biphenyl,Biphenyl,C12H10,0
tcynt,SCN-,0,tcynt,Thiocyanate,CNS,-1
2ppoh,propanol,1,2ppoh,2-Propanol,C3H8O,0
glygly,glycylglycine,1,glygly,Glycylglycine,C4H8N2O3,0
tttnt,S4O6-2,1,tttnt,Tetrathionate,O6S4,-2
2-Biphenylol,diphenyl ester,1,2-Biphenylol,2-Biphenylol,C12H10O,0
Isobutyrate,n-butanoate,1,Isobutyrate,Isobutyrate,C4H7O2,-1
ddca,n-dodecanoate,0,ddca,ddca,C12H23O2,-1
MEK,butanone,1,MEK,MEK,C4H8O,0
etoh,ethanol,0,etoh,Ethanol,C2H6O,0
Cytidine,cytidine,0,Cytidine,Cytidine,C9H13N3O5,0
glutar,glutarate-2,1,glutar,Glutarate,C5H6O4,-2
mal-D,malate-2,1,mal,D-Malate,C4H4O5,-2
D-Tryptophan,tryptophan,0,Tryptophan,D-Tryptophan,C11H12N2O2,0
dms,dimethyl sulfide,0,dms,Methyl sulfide,C2H6S,0
cll_451,cysteine,0,cll_451,Cysteine,C3H7NO2S,0
F-,F-,0,F-,F-,F,-1
cll_459,histidine,0,cll_459,Histidine,C6H9N3O2,0
ade,adenine,0,ade,Adenine,C5H5N5,0
pro-L,proline,0,pro,L-Proline,C5H9NO2,0
mal-L,malate-2,1,mal,L-Malate,C4H4O5,-2
asn-L,asparagine,0,asn,L-Asparagine,C4H8N2O3,0
ncam,"nicotinamide,ox",0,ncam,Nicotinamide,C6H6N2O,0
cit,citrate-3,0,cit,Citrate,C6H5O7,-3
glyclt,glycolate,0,glyclt,Glycolate,C2H3O3,-1
ppa,propanoate,0,ppa,Propionate,C3H5O2,-1
cobalt2,Co+2,0,cobalt2,Co2+,Co,2
thym,thymine,0,thym,Thymine,C5H6N2O2,0
bz,benzoate,0,bz,Benzoate,C7H5O2,-1
xyl-D,xylose,0,xyl,Xylose,C5H10O5,0
lac-L,lactate,0,lac,L-Lactate,C3H5O3,-1
thr-L,threonine,0,thr,L-Threonine,C4H9NO3,0
acetone,acetone,0,acetone,Acetone,C3H6O,0
oxa,oxalate,0,oxa,Oxalate,C2O4,-2
thymd,deoxythymidine,1,thymd,Thymidine,C10H14N2O5,0
mea,methanamine,1,mea,Methanamine,CH6N,1
co,CO,1,co,CO,CHO,1
k,K+,0,k,K+,K,1
gua,guanine,0,gua,Guanine,C5H5N5O,0
no3,NO3-,0,no3,Nitrate,NO3,-1
but,n-butanoate,1,but,Butyrate,C4H7O2,-1
arab-L,arabinose,0,arab,L-Arabinose,C5H10O5,0
h2s,HS-,1,h2s,H2S,HS,-1
